WDPAID,NAME,scientific_name,source
317259,Danau Sentarum,Sundasciurus_brookei,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Sundasciurus_hippurus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Sus_barbatus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Tarsius_bancanus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Tragulus_javanicus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Tragulus_napu,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Tupaia_longipes,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Aonyx_cinereus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Callosciurus_albescens,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Rusa_unicolor,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Macaca_leonina,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Muntiacus_montanus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Muntiacus_vaginalis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Neofelis_diardi,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Nycticebus_javanicus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317259,Danau Sentarum,Nycticebus_menagensis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
317318,Nijhum Dweep,Prionailurus_viverrinus,Rabbi (2009)
317318,Nijhum Dweep,Mus_musculus,Rabbi (2009)
317318,Nijhum Dweep,Bandicota_bengalensis,Rabbi (2009)
317318,Nijhum Dweep,Suncus_murinus,Rabbi (2009)
317318,Nijhum Dweep,Herpestes_javanicus,Rabbi (2009)
317318,Nijhum Dweep,Bandicota_indica,Rabbi (2009)
317318,Nijhum Dweep,Macaca_mulatta,Rabbi (2009)
317318,Nijhum Dweep,Oryctolagus_cuniculus,Rabbi (2009)
318076,Eifel,Mustela_erminea,https://www.inaturalist.org/
318076,Eifel,Martes_foina,https://www.inaturalist.org/
318076,Eifel,Cynomys_ludovicianus,https://www.inaturalist.org/
318076,Eifel,Bubalus_arnee,https://www.inaturalist.org/
318076,Eifel,Castor_fiber,https://www.inaturalist.org/
318076,Eifel,Microtus_agrestis,https://www.inaturalist.org/
318076,Eifel,Equus_ferus,https://www.inaturalist.org/
318076,Eifel,Talpa_europaea,https://www.inaturalist.org/
318076,Eifel,Sus_scrofa,https://www.inaturalist.org/
318076,Eifel,Sciurus_vulgaris,https://www.inaturalist.org/
318076,Eifel,Cervus_elaphus,https://www.inaturalist.org/
318076,Eifel,Ovis_orientalis,https://www.inaturalist.org/
318076,Eifel,Sorex_araneus,https://www.inaturalist.org/
318076,Eifel,Microtus_arvalis,https://www.inaturalist.org/
318076,Eifel,Ondatra_zibethicus,https://www.inaturalist.org/
318076,Eifel,Arvicola_amphibius,https://www.inaturalist.org/
318076,Eifel,Myocastor_coypus,https://www.inaturalist.org/
318076,Eifel,Dama_dama,https://www.inaturalist.org/
318076,Eifel,Erinaceus_europaeus,https://www.inaturalist.org/
318076,Eifel,Lepus_europaeus,https://www.inaturalist.org/
318076,Eifel,Martes_martes,https://www.inaturalist.org/
318076,Eifel,Capreolus_capreolus,https://www.inaturalist.org/
318076,Eifel,Equus_africanus,https://www.inaturalist.org/
318076,Eifel,Canis_lupus,https://www.inaturalist.org/
318076,Eifel,Lynx_lynx,https://www.inaturalist.org/
318076,Eifel,Mustela_nivalis,https://www.inaturalist.org/
318076,Eifel,Capra_aegagrus,https://www.inaturalist.org/
318076,Eifel,Myodes_glareolus,https://www.inaturalist.org/
318076,Eifel,Meles_meles,https://www.inaturalist.org/
318076,Eifel,Nyctereutes_procyonoides,https://www.inaturalist.org/
318076,Eifel,Felis_silvestris,https://www.inaturalist.org/
319938,Biosphärenreservat Schaalsee,Lutra_lutra,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Alces_alces,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Apodemus_agrarius,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Apodemus_flavicollis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Apodemus_sylvaticus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Arvicola_amphibius,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Canis_lupus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Capreolus_capreolus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Castor_fiber,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Cervus_elaphus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Crocidura_leucodon,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Crocidura_russula,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Crocidura_suaveolens,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Dama_dama,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Erinaceus_europaeus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Lepus_europaeus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Lutra_lutra,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Martes_foina,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Martes_martes,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Meles_meles,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Micromys_minutus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Microtus_agrestis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Microtus_arvalis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Microtus_oeconomus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Microtus_subterraneus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319939,Biosphärenreservat Schorfheide - Chorin,Mus_musculus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
